DATE,Incubator,Start Date,End Date,Tank Name,Male,Female,Spawn Type,Time Found,Cleavage,Day of Cycle,Total # of tanks,Notes
03-11-2020,YELLOW,02-26-2020,NA,Y_CC7x3_122620,CC7,NA,sperm,10:00,,8,10,
03-11-2020,YELLOW,01-29-2020,07-13-2020,Y_CC7x5_012920,CC7,NA,sperm,9:30,,8,10,
03-11-2020,YELLOW,01-29-2020,NA,Y_CC7x3_012920,CC7,NA,sperm,9:30,,8,10,
03-11-2020,YELLOW,12-04-2019,NA,Y_CC7_CC7_120419,CC7,NA,sperm,9:30,,8,10,
03-11-2020,YELLOW,02-26-2020,NA,Y_CC7_CC7_CC7_CC7_022620,CC7,NA,sperm,9:30,,8,10,
03-11-2020,YELLOW,08-19-2019,03-16-2020,Y_CC7_CC7_081919,CC7,NA,sperm,9:30,,8,10,
03-11-2020,YELLOW,12-04-2019,NA,Y_CC7x4(FROM031619)_120419,CC7,NA,sperm,9:30,,8,10,
03-11-2020,ORANGE,02-12-2020,09-16-2020,O_CC7x4_021220,CC7,NA,sperm,9:30,,23,10,
03-11-2020,ORANGE,01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,9:30,,23,10,
03-17-2020,YELLOW,12-04-2019,05-18-20,Y_PLF3_PLF3_PLF3_PLF3_120419,NA,PLF3,eggs,10:30,,14,10,
03-17-2020,GREEN,02-19-2020,NA,G_CC7_CC7_CC7_021920,CC7,NA,sperm,10:30,,23,14,
03-17-2020,Red (New),03-04-2020,NA,R_H2_H2_H2_H2_030420,NA,H2,eggs,5:13,,8,16,
03-17-2020,Red (New),08-21-2019,04-20-2020,R_PLF3x4_082119,NA,PLF3,eggs,5:13,,8,16,
03-17-2020,Red (New),02-07-2020,NA,R_CC7x3_020720,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),12-11-2019,04-20-2020,R_CC7_CC7_CC7_121119,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),01-08-2020,07-13-2020,R_CC7x3_010820,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),01-08-2020,NA,R_CC7_CC7_CC7_010820,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),08-21-2019,04-20-2020,R_CC7_CC7_CC7_082119,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),11-13-2019,04-01-2020,R_H2_H2_111319,NA,H2,eggs,5:13,,8,16,
03-17-2020,Red (New),12-11-2019,NA,R_CC7x4_121119,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),02-07-2020,NA,R_CC7_CC7_CC7_020720,CC7,NA,sperm,5:13,,8,16,
03-17-2020,Red (New),02-07-2020,NA,R_H2_H2_H2_020720,NA,H2,eggs,5:13,,8,16,
03-17-2020,Red (New),02-07-2020,NA,R_H2x4_020720,NA,H2,eggs,5:13,,8,16,
03-17-2020,Red (New),02-07-2020,05-18-2020,R_CC7x2_020720,CC7,NA,sperm,5:13,,8,16,
03-24-2020,ORANGE,01-16-2020,NA,O_CC7_CC7_CC7_011620,CC7,NA,sperm,5:50,,8,8,
